     phi1       Phi      phi2
  97.1645   93.0393  0.696219
  153.472   98.6667    349.39
  94.9591     86.52   3.25216
   95.761   75.6568   2.15872
  106.138   83.3288   2.74789
  102.287   81.6622   14.6101
  170.239   107.347   7.01447
  104.798   102.897   352.315
  110.374   81.5523   353.492
  142.498   91.7289    358.63
  164.684   82.0875    354.82
  156.964   82.2685   354.456
  129.885   97.5769   354.501
  104.115   95.5933   352.698
  131.056   86.1378   347.608
   141.95   85.5011    345.61
   101.64   76.9014   356.211
  154.989   91.7087   351.924
   96.144   97.2783   7.69252
  96.3296   87.2917   344.798
   175.77   83.4994   357.062
  163.723   85.1229   340.884
  108.459   86.7473    350.73
  142.088   92.8002    345.24
  148.476   91.5279   358.288
  105.293   78.6523   348.674
   123.12   87.5881   352.543
  161.541   92.7355   356.842
  130.279   85.5975    2.7865
  174.711    77.859   340.171
  171.501   86.5243   342.649
  115.611   95.4585   341.576
  111.192   78.3459   346.177
  98.1489    74.833   356.489
  152.846   117.067     11.68
  132.916   85.9249   355.904
  126.876   91.8206   343.711
  149.158   96.5497   1.35904
  135.836   100.434   3.30527
  148.556    89.029   354.598
  110.186   91.4964   354.143
  160.687   89.3118   357.031
  149.013   82.1452   356.352
  155.952   91.4451   347.762
  163.976   77.0395   356.913
  134.459    94.367    3.8779
  89.5758   77.4247   1.55316
  152.702   96.5637   351.675
  103.533   87.9233   348.777
  155.087   74.8349   7.57932
  147.748   98.8635   342.119
  176.525   99.9725   342.432
  134.848    96.187   348.697
  168.254   84.0209   358.637
  92.8086   89.7514   349.381
  155.482   71.5915   11.5105
  130.575   74.2742   352.866
  158.533   96.2356   345.739
  112.306   80.9623   346.246
  133.101    87.722   341.906
  106.282   79.9041     336.6
  95.6651   87.4983  0.817661
  106.862   98.7955   2.89621
  114.202   94.3489   348.135
  146.566   81.0725   350.912
  108.774   97.6052   334.619
  156.561   83.5298   342.723
  165.717   89.5501   357.057
  125.205   88.1312   351.945
  144.734   77.6545   355.691
  116.584   94.6493   2.13452
  175.441   98.8952    358.19
  95.3253   90.9209 0.0841361
  146.232   91.1101   357.111
  130.937   83.2668   335.809
  126.839   85.6885   355.253
  171.686   96.4665   1.76295
   152.74   77.0934   4.31395
  171.095   76.0223   348.253
  97.1761   92.2573   347.655
  151.652   80.9836   354.126
   111.49     99.13   353.687
  176.721   90.6948   352.589
  90.2748    90.977   3.94072
  116.504   97.3499   337.215
  151.624   104.293   3.56272
  101.263   107.827   348.467
   120.66   77.0457   6.36129
  96.2214   82.1036   353.903
  159.327   96.5415 0.0278239
  122.201   86.5911   342.728
  118.982   104.613   346.245
  140.066   94.7314   343.487
   173.84   84.1146   353.866
  136.039   90.9219   342.747
  172.041   86.8736  0.633272
  116.233   76.2096   356.061
  157.873   88.0179   346.566
  99.1389   92.2071   358.545
  165.052   85.3256   9.69213
  179.447   93.2665   4.99348
  129.392   107.058   347.605
  124.709   97.5674   338.604
  91.1551   110.486   351.963
  136.567   71.0921   348.546
  163.611   85.4469   347.437
  160.227   95.6782   5.13813
  141.578   91.4628   346.437
  110.914   91.3399   359.509
  119.844   86.5879   349.154
   142.86    91.867   355.335
  95.3731   84.8325   351.213
  144.876   92.5439   356.762
  94.7037   83.9841   351.308
  175.438   102.298   2.81452
  177.875   95.7953   359.059
  166.951   89.6734   2.34251
  174.508   90.4116   348.365
  176.881   86.7905   348.742
  101.304   81.6843   5.30703
  95.0267   89.9897   344.428
   100.34   95.4924   358.002
  172.761   96.7494   348.197
  103.753    92.314   356.204
  128.665   105.748   349.374
  125.983   86.0691   354.813
  127.698   96.0032   351.715
  102.348   81.0445   5.57523
  118.508   98.2693   352.405
  94.3409   79.8277   350.454
  168.043   103.089   342.457
  147.798    86.406   3.78403
