    phi1      Phi     phi2
 141.892  87.9464  96.3666
 185.313  10.1722  283.564
 50.4807  93.5319  98.4953
 231.026  94.9717  74.6524
 331.522  100.372  179.083
 327.296    109.9  171.726
 34.0672   86.142  249.196
 239.368   82.605  280.866
 64.9761  83.1623  5.12535
 277.493  86.0239  88.4679
 165.295  172.087  225.605
 334.884  7.73656  137.061
 175.151   95.515  275.209
 59.0959  92.5159  264.604
 249.365   8.1021   286.45
 276.867   99.629  93.2758
 236.066  98.1937  79.6409
 33.7214  176.711   103.69
 139.828  86.1189  14.3249
 231.496  98.9341  5.13845
 221.064  83.7667  267.029
 207.403  96.2319  76.6943
 333.322  89.4729  275.132
 97.6789  85.2985  261.282
 283.474  86.4079  358.568
 256.937  12.8464  252.753
 78.0692  86.7445  180.156
 123.918  3.45209  352.572
 175.391   81.198  92.5786
 308.406  108.817  181.521
 306.723  100.991  6.13572
  251.86  95.3359  103.209
 245.024  104.235  267.648
 232.383  99.4461  77.9529
 15.9216  82.0539  329.325
 148.923  175.761  60.9658
 207.614  11.1718  324.437
 193.777  89.9787  99.3047
 276.071  166.528  276.019
 13.5591   90.589  270.784
 155.202  91.4771  180.639
  205.68  87.8903  181.137
 340.678  8.01833  303.446
 54.3007  172.879  123.261
 298.507  97.6089  79.2567
 178.831  86.6645  279.564
 224.832  94.1305   166.32
  107.73  92.4831  353.198
  212.68  6.30859  205.744
 202.155  70.3246  357.975
 13.3843  74.8374  182.592
 48.0759  164.211  275.473
 270.165   89.871  278.636
 201.465  172.865  348.007
 5.45875   174.64  47.6618
 203.628  65.3588   358.13
 123.707  164.166  218.391
 23.8422  79.2382  271.932
 156.683  89.5429  347.633
 88.5482  79.3393  82.4702
 60.6617  70.0841   174.34
 343.389  6.57466  337.409
 61.1784  101.965   89.477
 249.559  91.5719  97.7426
 280.979  98.9931  176.334
 178.907  21.4499  156.218
 200.441  93.8157  256.914
 120.749   91.323    91.96
 80.1779  86.7052  89.3484
 329.193  12.3818  130.644
 238.557  171.268  347.273
 129.875  98.7101  176.099
 320.161  93.1264  265.562
 281.228  87.5358  359.105
  86.212  71.9001  261.234
 133.684  175.658  141.825
 216.259  89.6377  189.532
 108.481  87.5209   15.836
 304.602  104.375  174.471
 232.512  93.3964  186.612
 196.958  84.0659  353.172
 156.934  97.1797  95.7509
 221.716  92.0094  88.9729
 6.28127  9.25637  218.915
 253.718  96.9305  107.686
 284.924  73.7568  4.14621
     301  161.137  333.754
 167.164  72.6996  358.821
 270.182   7.9399  140.982
 300.213  171.593  186.188
 77.4269  79.1117  353.873
 254.438  85.5629  286.276
 27.5399  167.809  22.0079
 128.647  85.2286  3.55723
0.506465  80.8957  277.886
 217.093  83.6205   181.96
 301.777  13.8527  309.616
 202.457  94.3564  172.806
 144.024  88.8706  274.255
 238.087  164.346   27.421
 314.569  80.4442  85.0304
  152.49   18.447  202.973
 261.646  95.8336  286.821
 318.513  73.7688  347.035
 89.0705  72.4669  189.478
 28.1803  88.0852  8.38132
 24.3832  93.2727  258.619
 186.391  96.8963  265.148
 36.5583  4.95722  299.299
 74.7628  83.6422  88.4682
 125.063  1.96075  242.787
 61.0184  173.749  10.8043
 9.84155  89.6333  356.769
 139.631  88.1627  263.326
 219.953  93.0681  284.363
 321.055  172.774  98.3986
 302.225   84.861  84.3744
 129.708   85.792  85.1952
  114.95  173.204  73.2369
 57.2493  91.4953  13.3388
 50.4918  82.7239  82.6793
 145.268    91.58   276.19
 308.132  89.8201  99.3852
 71.3449  2.74029  77.3789
   175.4  104.804  187.627
 260.918  92.7241  357.164
 172.975  96.3733  272.128
 148.045   76.029  1.25678
 163.953  97.4786  184.236
 48.5808  79.8142  274.249
 214.586  107.854  180.822
  192.78   81.065  183.869
 112.981   91.808  358.712
 332.895  11.3485    56.45
 107.421  90.4136  279.112
 190.175  101.675   104.48
  266.63  164.111  62.3482
 82.0111  16.8515  73.4608
 268.104  72.4328   14.435
   6.264   101.98  277.849
 336.116  76.1569  96.3041
   351.6  95.9594  281.248
 126.098  17.7121  175.518
